George C. Kimble,LT,Pennsylvania,fatality
John C. Kin,--,--,fatality
William Philip King,PVT,Mississippi,fatality
William Irvine Lewis,PVT,Virginia,fatality
William J. Lightfoot,3CPL,Kentucky,fatality
Jonathan Lindley,PVT,Illinois,fatality
Byrd Lockhart,CPT,Virginia,survivor
Toribio Losoya,PVT,Texas,fatality
George Washington Main,LT,Virginia,fatality
William T. Malone,PVT,Georgia,fatality
William Marshall,PVT,Tennessee,fatality
Albert Martin,CPT,Rhode Island,fatality
Samuel Augustus Maverick,PVT,South Carolina,survivor
Edward McCafferty,LT,--,fatality
Ross McClelland,--,--,fatality
Daniel McCoy Jr.,--,--,fatality
Jesse McCoy,PVT,Tennessee,fatality
Prospect McCoy,--,--,fatality
William McDowell,PVT,Pennsylvania,fatality
James McGee,PVT,Ireland,fatality
John McGregor,SGT,Scotland,fatality
Robert McKinney,PVT,Ireland,fatality
S.W. McNeilly,--,--,fatality
Eliel Melton,"QM  LT",Georgia,fatality
Antonio Menchaca,--,Texas,survivor
Thomas R. Miller,PVT,Tennessee,fatality
William Mills,PVT,Tennessee,fatality
Isaac Millsaps,PVT,Mississippi,fatality
Edward F. Mitchasson,--,Virginia,fatality
Edwin T. Mitchell,PVT,--,fatality
Napoleon B. Mitchell,PVT,--,fatality
Robert B. Moore,PVT,Virginia,fatality
Willis A. Moore,PVT,--,fatality
John Morman,--,--,fatality
William Morrison,--,--,fatality
Robert Musselman,SGT,Ohio,fatality
James Nash,--,--,fatality
Andrés Nava,SGT,Texas,fatality
Gerald Navan,PVT,--,survivor
George Neggan,PVT,South Carolina,fatality
Andrew M. Nelson,PVT,Tennessee,fatality
Edward Nelson,PVT,South Carolina,fatality
George Nelson,PVT,South Carolina,fatality
Benjamin F. Nobles,LT,--,survivor
James Northcross,PVT,Virginia,fatality
James Nowlan,PVT,England,fatality
L.R. O'Neil,--,--,fatality
George Olamio,PVT,Ireland,fatality
William Sanders Oury,PVT,Virginia,survivor
"Jose Sebastian ""Luciano"" Pacheco",--,--,survivor
George Pagan,PVT,--,fatality
Christopher Adams Parker,PVT,--,fatality
William Parks,PVT,North Carolina,fatality
William Patton,"AQM  LT",Kentucky,survivor
Richardson Perry,PVT,Mississippi,fatality
Adolf Petrasweiz,--,--,fatality
Amos Pollard,--,Massachusetts,fatality
Eduardo Ramirez,--,--,survivor
John Purdy Reynolds,PVT,Pennsylvania,fatality
Thomas H. Roberts,PVT,--,fatality
James Waters Robertson,PVT,Tennessee,fatality
Ambrosio Rodriguez,--,--,survivor
Guadalupe Rodriquez,--,--,fatality
James M. Rose,PVT,Ohio,fatality
Jacob Roth,MAJ,--,fatality
Jackson J. Rusk,PVT,Ireland,fatality
Joseph Rutherford,PVT,Kentucky,fatality
Isaac Ryan,PVT,Louisiana,fatality
W.H. Sanders,--,--,fatality
Mial Scurlock,PVT,North Carolina,fatality
Juan Seguín,CPT,Texas,survivor
Marcus L. Sewell,PVT,England,fatality
Manson Shied,PVT,Georgia,fatality
Silvero,--,--,survivor
Cleveland Kinloch Simmons,LT,South Carolina,fatality
Andrew H. Smith,PVT,Tennessee,fatality
Charles S. Smith,PVT,Maryland,fatality
John William Smith,--,Virginia,survivor
Joshua G. Smith,SGT,North Carolina,fatality
William H. Smith,PVT,--,fatality
Launcelot Smither,PVT,--,survivor
Andrew Jackson Sowell,PVT,Tennessee,survivor
John Spratt,--,--,fatality
Richard Starr,PVT,England,fatality
James E. Stewart,PVT,England,fatality
Richard L. Stockton,PVT,New Jersey,fatality
A. Spain Summerlin,PVT,Tennessee,fatality
William E. Summers,PVT,Tennessee,fatality
John Sutherland,PVT,Virginia,survivor
William DePriest Sutherland,PVT,Alabama,fatality
Edward Taylor,PVT,Tennessee,fatality
George Taylor,PVT,Tennessee,fatality
James Taylor,PVT,Tennessee,fatality
William Taylor,PVT,Tennessee,fatality
B. Archer M. Thomas,PVT,Kentucky,fatality
Henry Thomas,PVT,Germany,fatality
Thompson,--,--,fatality
John W. Thomson,PVT,North Carolina,fatality
"John  M. Thurston",2LT,Pennsylvania,fatality
Burke Trammel,PVT,Ireland,fatality
Joe Travis,--,Alabama,survivor
William B. Travis,LTC,South Carolina,fatality
George W. Tumlinson,PVT,Missouri,fatality
"James Tylee  James",PVT,New York,fatality
Asa Walker,PVT,Tennessee,fatality
Jacob Walker,PVT,Tennessee,fatality
William B. Ward,SGT,Ireland,fatality
Henry Warnell,PVT,Arkansas,escaped
Joseph G. Washington,PVT,Tennessee,fatality
Thomas Waters,PVT,England,fatality
William Wells,PVT,Georgia,fatality
Isaac White,SGT,--,fatality
Robert White,CPT,England,fatality
William Linn,PVT,Massachusetts,fatality
Hiram James Williamson,SMA,Pennsylvania,fatality
William Wills,--,--,fatality
David L. Wilson,PVT,Scotland,fatality
John Wilson,PVT,Pennsylvania,fatality
Anthony Wolf,PVT,--,fatality
Claiborne Wright,PVT,North Carolina,fatality
Charles Zanco,LT,Denmark,fatality
Vicente Zepeda,--,--,survivor
